RMSD_active,RMSD_inactive
1.630889773368835449e+00,1.517103075981140137e+00
1.622852563858032227e+00,1.516497135162353516e+00
1.637440204620361328e+00,1.523431897163391113e+00
1.647323489189147949e+00,1.521992802619934082e+00
1.564842462539672852e+00,1.489812493324279785e+00
1.628961086273193359e+00,1.511813640594482422e+00
1.617244601249694824e+00,1.505756497383117676e+00
1.626128792762756348e+00,1.513014554977416992e+00
1.600524067878723145e+00,1.488714814186096191e+00
1.634321928024291992e+00,1.510877609252929688e+00
1.601135134696960449e+00,1.492628335952758789e+00
1.615934848785400391e+00,1.517577767372131348e+00
1.632406115531921387e+00,1.506471157073974609e+00
1.652163386344909668e+00,1.537684321403503418e+00
1.628781199455261230e+00,1.514558792114257812e+00
1.619696617126464844e+00,1.503228306770324707e+00
1.650424242019653320e+00,1.531788110733032227e+00
1.634065747261047363e+00,1.518353819847106934e+00
1.632803916931152344e+00,1.512294650077819824e+00
1.644894361495971680e+00,1.528296709060668945e+00
1.636119604110717773e+00,1.517524003982543945e+00
1.617617011070251465e+00,1.511422038078308105e+00
1.601019859313964844e+00,1.478867292404174805e+00
1.629895210266113281e+00,1.513220429420471191e+00
1.638677716255187988e+00,1.527103304862976074e+00
1.678981781005859375e+00,1.599870681762695312e+00
1.621965050697326660e+00,1.495195984840393066e+00
1.624416947364807129e+00,1.503845453262329102e+00
1.610020279884338379e+00,1.507574319839477539e+00
1.639895796775817871e+00,1.523655772209167480e+00
1.615890383720397949e+00,1.525677919387817383e+00
1.645849108695983887e+00,1.523396372795104980e+00
1.639899134635925293e+00,1.507757306098937988e+00
1.615749120712280273e+00,1.506413578987121582e+00
1.636952400207519531e+00,1.517999649047851562e+00
1.633679151535034180e+00,1.510231614112854004e+00
1.637509584426879883e+00,1.525220274925231934e+00
1.634933590888977051e+00,1.521989464759826660e+00
1.641193985939025879e+00,1.518127322196960449e+00
1.660041451454162598e+00,1.531547546386718750e+00
1.643146157264709473e+00,1.510864138603210449e+00
1.606969833374023438e+00,1.514580011367797852e+00
1.649093508720397949e+00,1.536607623100280762e+00
1.665289998054504395e+00,1.536655902862548828e+00
1.619294166564941406e+00,1.509293794631958008e+00
1.629593849182128906e+00,1.511482596397399902e+00
1.642112612724304199e+00,1.520353794097900391e+00
1.636067152023315430e+00,1.513148188591003418e+00
1.633192062377929688e+00,1.509227037429809570e+00
1.643571257591247559e+00,1.531341552734375000e+00
1.640391230583190918e+00,1.526468992233276367e+00
1.617110729217529297e+00,1.510426402091979980e+00
1.627716898918151855e+00,1.518364906311035156e+00
1.646780371665954590e+00,1.536588668823242188e+00
1.609071373939514160e+00,1.514194846153259277e+00
1.623278975486755371e+00,1.509948015213012695e+00
1.653661012649536133e+00,1.535622596740722656e+00
1.638262510299682617e+00,1.518109679222106934e+00
1.652055263519287109e+00,1.525247097015380859e+00
1.615583181381225586e+00,1.514311909675598145e+00
1.633108973503112793e+00,1.518407940864562988e+00
1.637522220611572266e+00,1.516716003417968750e+00
1.647991776466369629e+00,1.531835079193115234e+00
1.647131919860839844e+00,1.529685735702514648e+00
1.631865143775939941e+00,1.520194530487060547e+00
1.631110668182373047e+00,1.504291176795959473e+00
1.631478071212768555e+00,1.524600982666015625e+00
1.665305614471435547e+00,1.543253064155578613e+00
1.681045651435852051e+00,1.572129487991333008e+00
1.624907970428466797e+00,1.517992854118347168e+00
1.624730944633483887e+00,1.509019494056701660e+00
1.641271948814392090e+00,1.521508455276489258e+00
1.522553443908691406e+00,1.444195628166198730e+00
1.606851935386657715e+00,1.503876447677612305e+00
1.642287254333496094e+00,1.521967768669128418e+00
1.652306437492370605e+00,1.537175774574279785e+00
1.645243763923645020e+00,1.521203875541687012e+00
1.618139505386352539e+00,1.513002276420593262e+00
1.648125767707824707e+00,1.548350334167480469e+00
1.629174351692199707e+00,1.505605578422546387e+00
1.639686346054077148e+00,1.521958827972412109e+00
1.639552950859069824e+00,1.525812029838562012e+00
1.634904980659484863e+00,1.526507973670959473e+00
1.624105095863342285e+00,1.512690901756286621e+00
1.635457515716552734e+00,1.517724990844726562e+00
1.652076601982116699e+00,1.525196194648742676e+00
1.645396351814270020e+00,1.520124197006225586e+00
1.608870625495910645e+00,1.504424452781677246e+00
1.638684988021850586e+00,1.519925832748413086e+00
1.623728513717651367e+00,1.518423557281494141e+00
1.652779221534729004e+00,1.538148283958435059e+00
1.619503736495971680e+00,1.511852979660034180e+00
1.631178975105285645e+00,1.522248387336730957e+00
1.635160088539123535e+00,1.519572854042053223e+00
1.648007035255432129e+00,1.527753710746765137e+00
1.633044719696044922e+00,1.520278334617614746e+00
1.648850917816162109e+00,1.523278117179870605e+00
1.634317517280578613e+00,1.511509895324707031e+00
1.632061481475830078e+00,1.507838010787963867e+00
1.620054244995117188e+00,1.509337782859802246e+00
1.659760117530822754e+00,1.534530043601989746e+00
1.660264134407043457e+00,1.536833882331848145e+00
1.538432002067565918e+00,1.427110910415649414e+00
1.641634821891784668e+00,1.510556936264038086e+00
1.651135206222534180e+00,1.521911144256591797e+00
1.659786462783813477e+00,1.559830307960510254e+00
1.622103810310363770e+00,1.506658077239990234e+00
1.632483005523681641e+00,1.513124108314514160e+00
1.624296665191650391e+00,1.508298993110656738e+00
1.646047592163085938e+00,1.532984256744384766e+00
1.600754857063293457e+00,1.497117638587951660e+00
1.597430348396301270e+00,1.491498112678527832e+00
1.643108725547790527e+00,1.506075739860534668e+00
1.631660938262939453e+00,1.512641668319702148e+00
1.592585325241088867e+00,1.501062393188476562e+00
1.643064022064208984e+00,1.526928544044494629e+00
1.605024456977844238e+00,1.498590707778930664e+00
1.638285160064697266e+00,1.512296438217163086e+00
1.635541677474975586e+00,1.525892019271850586e+00
1.638153433799743652e+00,1.510372042655944824e+00
